Player,Year,Brand,Set,Card Number,Sport,Team,Condition,Graded By,Grade,Purchase Price,Current Value,Image Path,Notes
,1988,Donruss,Baseball Puzzle and Cards,,Baseball,,Good,,,,,,"Factory set box"
,1991,Donruss,The Rookies,,Baseball,,Good,,,,,,"Factory set box - Puzzle and Cards"
,1987,Donruss,Opening Day,,Baseball,,Near Mint,,,,,,"Factory sealed set box"
,1972,Donruss,Choppers and Hot Bikes,,Other,,Good,,,,,,"Panhead Engine"
,1972,Donruss,Choppers and Hot Bikes,,Other,,Very Fine,,,,,,"Harley-Davidson racing motorcycle"
,1972,Donruss,Choppers and Hot Bikes,,Other,,Good,,,,,,"Refinement of a Classic"
,1972,Donruss,Choppers and Hot Bikes,,Other,,Very Fine,,,,,,"Embryo Sportster"
,1972,Donruss,Choppers and Hot Bikes,,Other,,Good,,,,,,"Action Four's Double Threat; crease visible"
Bill Melchionni / Larry Brown / Louie Dampier,1972,Topps,ABA Assists Leaders,,Basketball,,Very Fine,,,,,,"1971/1972 ABA Assists Leaders"
Willie Wise,1972,Topps,ABA All-Stars,,Basketball,Utah Stars,Very Fine,,,,,,"2nd Team ABA All-Stars 1971-72"
Dean Meminger,1972,Topps,,,Basketball,New York Knicks,Very Fine,,,,,,"Guard"
Neal Walk,1972,Topps,,,Basketball,Phoenix Suns,Very Fine,,,,,,"Center"
Rich Jones,1972,Topps,,,Basketball,Dallas Chaparrals,Very Fine,,,,,,"Center-Forward - ABA"
Rick Barry,1972,Topps,ABA All-Stars,,Basketball,New York Nets,Very Fine,,,,,,"1st Team ABA All-Stars 1971-72; Forward"
Darnell Hillman,1972,Topps,,,Basketball,Indiana Pacers,Very Fine,,,,,,"Forward - ABA"
Jim McMillian,1972,Topps,,,Basketball,Los Angeles Lakers,Near Mint,,,,,,"Forward"
Mack Calvin,1972,Topps,,,Basketball,Carolina Cougars,Very Fine,,,,,,"Guard - ABA"
Calvin Murphy,1972,Topps,,,Basketball,Houston Rockets,Very Fine,,,,,,"Guard"
Dave Stallworth,1972,Topps,,,Basketball,Baltimore Bullets,Near Mint,,,,,,"Forward"
Nate Archibald,1972,Topps,NBA All-Stars,,Basketball,Cincinnati Royals,Very Fine,,,,,,"2nd Team NBA All-Stars 1971-72; Guard"
Bill Melchionni,1972,Topps,,,Basketball,New York Nets,Very Fine,,,,,,"Guard - ABA"
Neal Walk,1972,Topps,,,Basketball,Phoenix Suns,Near Mint,,,,,,"Center"
Kareem Abdul-Jabbar,1972,Topps,,,Basketball,Milwaukee Bucks,Very Fine,,,,,,"Center"
Tom Sanders,1972,Topps,,,Basketball,Boston Celtics,Very Fine,,,,,,"Forward"
Red Robbins,1972,Topps,,,Basketball,San Diego Conquistadors,Very Fine,,,,,,"Forward - ABA"
Ken Durrett,1972,Topps,,,Basketball,Kansas City Kings,Very Fine,,,,,,"Forward"
Dick Cunningham,1972,Topps,,,Basketball,Houston Rockets,Near Mint,,,,,,"Center-Forward"
Toby Kimball,1972,Topps,,,Basketball,Milwaukee Bucks,Very Fine,,,,,,"Forward"
Clem Haskins,1972,Topps,,,Basketball,Phoenix Suns,Near Mint,,,,,,"Guard"
Randy Johnson,1992,Topps,Stadium Club,,Baseball,Seattle Mariners,Near Mint,,,,,,
Gary Scott,1992,Topps,Stadium Club,,Baseball,Chicago Cubs,Near Mint,,,,,,
Paul Sorrento,1992,Topps,Stadium Club,,Baseball,Cleveland Indians,Near Mint,,,,,,
Jeff Robinson,1992,Topps,Stadium Club,,Baseball,Texas Rangers,Near Mint,,,,,,
Todd Benzinger,1992,Topps,Stadium Club,,Baseball,Los Angeles Dodgers,Near Mint,,,,,,
Armando Reynoso,1992,Topps,Stadium Club,,Baseball,Atlanta Braves,Near Mint,,,,,,
John Wehner,1992,Topps,Stadium Club,,Baseball,Pittsburgh Pirates,Near Mint,,,,,,
Jose Gonzalez,1992,Topps,Stadium Club,,Baseball,California Angels,Near Mint,,,,,,
Kim Batiste,1992,Topps,Stadium Club,,Baseball,Philadelphia Phillies,Near Mint,,,,,,
Neal Heaton,1992,Topps,Stadium Club,,Baseball,Kansas City Royals,Near Mint,,,,,,
Junior Noboa,1992,Topps,Stadium Club,,Baseball,New York Mets,Near Mint,,,,,,
Scott Scudder,1992,Topps,Stadium Club,,Baseball,Cleveland Indians,Near Mint,,,,,,
Randy Myers,1992,Topps,Stadium Club,,Baseball,San Diego Padres,Near Mint,,,,,,
Denis Boucher,1992,Topps,Stadium Club,,Baseball,Cleveland Indians,Near Mint,,,,,,
Will Clark,1989,Topps,Big Baseball,,Baseball,San Francisco Giants,Near Mint,,,,,,
Bob Ojeda,1989,Topps,Big Baseball,,Baseball,New York Mets,Near Mint,,,,,,
Larry Owen,1989,Topps,Big Baseball,,Baseball,Kansas City Royals,Near Mint,,,,,,
Rafael Palmeiro,1989,Topps,Big Baseball,,Baseball,Chicago Cubs,Near Mint,,,,,,
Rick Dempsey,1989,Topps,Big Baseball,,Baseball,Los Angeles Dodgers,Near Mint,,,,,,
Argenis Salazar,1989,Topps,Big Baseball,,Baseball,Chicago Cubs,Near Mint,,,,,,
