Player,Year,Brand,Set,Card Number,Sport,Team,Condition,Graded By,Grade,Purchase Price,Current Value,Image Path,Notes
Corey Seager,2022,Topps,Finest,,Baseball,Texas Rangers,Near Mint,,,,,Ellie/IMG_8239.jpeg,
Brady Feigl,2024,Topps,Base,,Baseball,Minnesota Twins,Near Mint,,,,,Ellie/IMG_8240.jpeg,Rookie Card; Foil Parallel
Mike Trout,2023,Panini,Prizm,,Baseball,Los Angeles Angels,Near Mint,,,,,Ellie/IMG_8241.jpeg,
Fernando Tatis Jr.,2024,Bowman,Chrome,,Baseball,San Diego Padres,Near Mint,,,,,Ellie/IMG_8242.jpeg,
Royce Lewis,2023,Panini,Prizm,,Baseball,Minnesota Twins,Near Mint,,,,,Ellie/IMG_8243.jpeg,
Tim Tawa,2024,Topps,Base,,Baseball,Arizona Diamondbacks,Near Mint,,,,,Ellie/IMG_8244.jpeg,Rookie Card; Foil Parallel
Logan Davidson,2024,Bowman,Chrome,,Baseball,Oakland Athletics,Near Mint,,,,,Ellie/IMG_8245.jpeg,Prospect
Shaquille O'Neal,2020,Panini,Mosaic,,Basketball,Los Angeles Lakers,Near Mint,,,,,Ellie/IMG_8246.jpeg,Finals MVPs Insert
Dick Butkus,2023,Donruss,The Legends Series,,Football,Chicago Bears,Near Mint,,,,,Ellie/IMG_8247.jpeg,Legends Series Insert
Corey Seager,2021,Topps,Finest,,Baseball,Los Angeles Dodgers,Near Mint,,,,,Ellie/IMG_8248.jpeg,
Jordy Lara,2024,Bowman,Chrome Scout's Breakouts,,Baseball,Seattle Mariners,Near Mint,,,,,Ellie/IMG_8249.jpeg,Scout's Breakouts Insert
Paul Goldschmidt,2024,Topps,Chrome,,Baseball,St. Louis Cardinals,Near Mint,,,,,Ellie/IMG_8250.jpeg,X-Fractor Parallel
Aaron Judge,2024,Bowman,Chrome,,Baseball,New York Yankees,Near Mint,,,,,Ellie/IMG_8251.jpeg,
Giannis Antetokounmpo,2020,Panini,Chronicles Elite,,Basketball,Milwaukee Bucks,Near Mint,,,,,Ellie/IMG_8252.jpeg,
Hyeseong Kim,2025,Topps,Base,,Baseball,Los Angeles Dodgers,Near Mint,,,,,Ellie/IMG_8253.jpeg,Rookie Card; Rookie Debut 5/3/2025
Nick Kurtz,2025,Topps,Stars of MLB,,Baseball,Oakland Athletics,Near Mint,,,,,Ellie/IMG_8254.jpeg,Rookie Card; Insert
