Player,Year,Brand,Set,Card Number,Sport,Team,Condition,Graded By,Grade,Purchase Price,Current Value,Image Path,Notes
,1988,Donruss,Baseball Puzzle and Cards,,Baseball,,Good,,,,,,"Factory set box"
,1991,Donruss,The Rookies,,Baseball,,Good,,,,,,"Factory set box - Puzzle and Cards"
,1987,Donruss,Opening Day,,Baseball,,Near Mint,,,,,,"Factory sealed set box"
,1972,Donruss,Choppers and Hot Bikes,,Other,,Good,,,,,.images/IMG_8284.jpeg,"Panhead Engine"
,1972,Donruss,Choppers and Hot Bikes,,Other,,Very Fine,,,,,.images/IMG_8285.jpeg,"Harley-Davidson racing motorcycle"
,1972,Donruss,Choppers and Hot Bikes,,Other,,Good,,,,,.images/IMG_8286.jpeg,"Refinement of a Classic"
,1972,Donruss,Choppers and Hot Bikes,,Other,,Very Fine,,,,,.images/IMG_8287.jpeg,"Embryo Sportster"
,1972,Donruss,Choppers and Hot Bikes,,Other,,Good,,,,,.images/IMG_8288.jpeg,"Action Four's Double Threat; crease visible"
Bill Melchionni / Larry Brown / Louie Dampier,1972,Topps,ABA Assists Leaders,,Basketball,,Very Fine,,,,,.images/IMG_8289.jpeg,"1971/1972 ABA Assists Leaders"
Willie Wise,1972,Topps,ABA All-Stars,,Basketball,Utah Stars,Very Fine,,,,,.images/IMG_8290.jpeg,"2nd Team ABA All-Stars 1971-72"
Dean Meminger,1972,Topps,,,Basketball,New York Knicks,Very Fine,,,,,.images/IMG_8291.jpeg,"Guard"
Neal Walk,1972,Topps,,,Basketball,Phoenix Suns,Very Fine,,,,,.images/IMG_8292.jpeg,"Center"
Rich Jones,1972,Topps,,,Basketball,Dallas Chaparrals,Very Fine,,,,,.images/IMG_8293.jpeg,"Center-Forward - ABA"
Rick Barry,1972,Topps,ABA All-Stars,,Basketball,New York Nets,Very Fine,,,,,.images/IMG_8294.jpeg,"1st Team ABA All-Stars 1971-72; Forward"
Darnell Hillman,1972,Topps,,,Basketball,Indiana Pacers,Very Fine,,,,,.images/IMG_8295.jpeg,"Forward - ABA"
Jim McMillian,1972,Topps,,,Basketball,Los Angeles Lakers,Near Mint,,,,,.images/IMG_8296.jpeg,"Forward"
Mack Calvin,1972,Topps,,,Basketball,Carolina Cougars,Very Fine,,,,,.images/IMG_8297.jpeg,"Guard - ABA"
Calvin Murphy,1972,Topps,,,Basketball,Houston Rockets,Very Fine,,,,,.images/IMG_8298.jpeg,"Guard"
Dave Stallworth,1972,Topps,,,Basketball,Baltimore Bullets,Near Mint,,,,,.images/IMG_8299.jpeg,"Forward"
Nate Archibald,1972,Topps,NBA All-Stars,,Basketball,Cincinnati Royals,Very Fine,,,,,.images/IMG_8300.jpeg,"2nd Team NBA All-Stars 1971-72; Guard"
Bill Melchionni,1972,Topps,,,Basketball,New York Nets,Very Fine,,,,,.images/IMG_8301.jpeg,"Guard - ABA"
Neal Walk,1972,Topps,,,Basketball,Phoenix Suns,Near Mint,,,,,.images/IMG_8302.jpeg,"Center"
Kareem Abdul-Jabbar,1972,Topps,,,Basketball,Milwaukee Bucks,Very Fine,,,,,.images/IMG_8303.jpeg,"Center"
Tom Sanders,1972,Topps,,,Basketball,Boston Celtics,Very Fine,,,,,.images/IMG_8304.jpeg,"Forward"
Red Robbins,1972,Topps,,,Basketball,San Diego Conquistadors,Very Fine,,,,,.images/IMG_8305.jpeg,"Forward - ABA"
Ken Durrett,1972,Topps,,,Basketball,Kansas City Kings,Very Fine,,,,,.images/IMG_8306.jpeg,"Forward"
Dick Cunningham,1972,Topps,,,Basketball,Houston Rockets,Near Mint,,,,,.images/IMG_8307.jpeg,"Center-Forward"
Toby Kimball,1972,Topps,,,Basketball,Milwaukee Bucks,Very Fine,,,,,.images/IMG_8308.jpeg,"Forward"
Clem Haskins,1972,Topps,,,Basketball,Phoenix Suns,Near Mint,,,,,.images/IMG_8309.jpeg,"Guard"
Randy Johnson,1992,Topps,Stadium Club,,Baseball,Seattle Mariners,Near Mint,,,,,.images/IMG_8311.jpeg,
Gary Scott,1992,Topps,Stadium Club,,Baseball,Chicago Cubs,Near Mint,,,,,.images/IMG_8312.jpeg,
Paul Sorrento,1992,Topps,Stadium Club,,Baseball,Cleveland Indians,Near Mint,,,,,.images/IMG_8313.jpeg,
Jeff Robinson,1992,Topps,Stadium Club,,Baseball,Texas Rangers,Near Mint,,,,,.images/IMG_8314.jpeg,
Todd Benzinger,1992,Topps,Stadium Club,,Baseball,Los Angeles Dodgers,Near Mint,,,,,.images/IMG_8315.jpeg,
Armando Reynoso,1992,Topps,Stadium Club,,Baseball,Atlanta Braves,Near Mint,,,,,.images/IMG_8316.jpeg,
John Wehner,1992,Topps,Stadium Club,,Baseball,Pittsburgh Pirates,Near Mint,,,,,.images/IMG_8317.jpeg,
Jose Gonzalez,1992,Topps,Stadium Club,,Baseball,California Angels,Near Mint,,,,,.images/IMG_8318.jpeg,
Kim Batiste,1992,Topps,Stadium Club,,Baseball,Philadelphia Phillies,Near Mint,,,,,.images/IMG_8319.jpeg,
Neal Heaton,1992,Topps,Stadium Club,,Baseball,Kansas City Royals,Near Mint,,,,,.images/IMG_8320.jpeg,
