Player,Year,Brand,Set,Card Number,Sport,Team,Condition,Graded By,Grade,Purchase Price,Current Value,Image Path,Notes
Corey Seager,2022,Topps,Finest,,Baseball,Texas Rangers,Near Mint,,,,,.images/IMG_8239.jpeg,
Brady Feigl,2024,Topps,Base,,Baseball,Minnesota Twins,Near Mint,,,,,.images/IMG_8240.jpeg,Rookie Card; Foil Parallel
Mike Trout,2023,Panini,Prizm,,Baseball,Los Angeles Angels,Near Mint,,,,,.images/IMG_8241.jpeg,
Fernando Tatis Jr.,2024,Bowman,Chrome,,Baseball,San Diego Padres,Near Mint,,,,,.images/IMG_8242.jpeg,
Royce Lewis,2023,Panini,Prizm,,Baseball,Minnesota Twins,Near Mint,,,,,.images/IMG_8243.jpeg,
Tim Tawa,2024,Topps,Base,,Baseball,Arizona Diamondbacks,Near Mint,,,,,.images/IMG_8244.jpeg,Rookie Card; Foil Parallel
Logan Davidson,2024,Bowman,Chrome,,Baseball,Oakland Athletics,Near Mint,,,,,.images/IMG_8245.jpeg,Prospect
Shaquille O'Neal,2020,Panini,Mosaic,,Basketball,Los Angeles Lakers,Near Mint,,,,,.images/IMG_8246.jpeg,Finals MVPs Insert
Dick Butkus,2023,Donruss,The Legends Series,,Football,Chicago Bears,Near Mint,,,,,.images/IMG_8247.jpeg,Legends Series Insert
Corey Seager,2021,Topps,Finest,,Baseball,Los Angeles Dodgers,Near Mint,,,,,.images/IMG_8248.jpeg,
Jordy Lara,2024,Bowman,Chrome Scout's Breakouts,,Baseball,Seattle Mariners,Near Mint,,,,,.images/IMG_8249.jpeg,Scout's Breakouts Insert
Paul Goldschmidt,2024,Topps,Chrome,,Baseball,St. Louis Cardinals,Near Mint,,,,,.images/IMG_8250.jpeg,X-Fractor Parallel
Aaron Judge,2024,Bowman,Chrome,,Baseball,New York Yankees,Near Mint,,,,,.images/IMG_8251.jpeg,
Giannis Antetokounmpo,2020,Panini,Chronicles Elite,,Basketball,Milwaukee Bucks,Near Mint,,,,,.images/IMG_8252.jpeg,
Hyeseong Kim,2025,Topps,Base,,Baseball,Los Angeles Dodgers,Near Mint,,,,,.images/IMG_8253.jpeg,Rookie Card; Rookie Debut 5/3/2025
Nick Kurtz,2025,Topps,Stars of MLB,,Baseball,Oakland Athletics,Near Mint,,,,,.images/IMG_8254.jpeg,Rookie Card; Insert
Hyeseong Kim,2025,Topps,Stars of MLB,,Baseball,Los Angeles Dodgers,Near Mint,,,,,.images/IMG_8255.jpeg,Rookie Card; Insert
Shohei Ohtani,2025,Topps,Base,,Baseball,Los Angeles Dodgers,Near Mint,,,,,.images/IMG_8256.jpeg,Nod and Smile
Ben Rice,2025,Topps,Base,,Baseball,New York Yankees,Near Mint,,,,,.images/IMG_8257.jpeg,Rookie Card; Rookie Debut 6/18/2024
Chase Dollander,2025,Topps,Stars of MLB,,Baseball,Colorado Rockies,Near Mint,,,,,.images/IMG_8258.jpeg,Rookie Card; Insert
MacKenzie Gore,2024,Topps,All-Star Game,,Baseball,Washington Nationals,Near Mint,,,,,.images/IMG_8259.jpeg,Foil Parallel
Jackson Merrill,2025,Topps,Stars of MLB,,Baseball,San Diego Padres,Near Mint,,,,,.images/IMG_8260.jpeg,Insert
